,niche,title,channel_title,views,views_per_day,shorts_score,duration_s,published_at,video_url,channel_url,source_query,created_at,subscribers,video_count,total_views
599,Memes & Comedy,That One Strict Teacher In Exam Hall 💀pt-3 #shorts #funny #exam #school,Dean prin,62126982,3594924.3143832707,0.75,64,2025-12-08T15:51:00Z,https://www.youtube.com/watch?v=FnHDFqGA_lI,https://www.youtube.com/channel/UC1vRFyXl3N9vgHH6--lKc-w,funny shorts,2024-07-29T08:13:22.945061Z,678000,59,568076571
309,Cars & Motorcycles,Big & Small Cars vs Giant Hand Slap - BeamNG.drive,Beamng Smash,61918174,9139487.835573627,1.05,8,2025-12-19T04:01:01Z,https://www.youtube.com/watch?v=qUyiEQKVYiU,https://www.youtube.com/channel/UCDWzpWRszgWAkQc8Lu1o_HQ,car shorts,2024-06-14T18:26:50.995123Z,1260000,720,2377108912
176,Roblox,Bacon didn't expect THAT 🤣 Roblox Brookhaven Meme #roblox #meme #shorts,MiAnimation🎬 ,55052543,2121847.9290276924,1.05,14,2025-11-29T23:55:01Z,https://www.youtube.com/watch?v=hkiZ2lLeYL0,https://www.youtube.com/channel/UCfF7GECIz-rj74KMh9S4ilg,roblox shorts,2022-01-15T23:49:58.93441Z,3920000,584,5053081176
563,Dance,WE NEED TO KNOW!? 😅 CHANEL VIRAL TIKTOK DANCE - #dance #funny #couple #shorts #viral #trend,Jasmin and James,54776803,2158643.5661838953,1.05,14,2025-11-30T13:36:03Z,https://www.youtube.com/watch?v=dFElmVgxBfw,https://www.youtube.com/channel/UC5OVPGQqCUm0CCyVzELGITQ,dance shorts,2021-09-12T20:52:57.148898Z,22400000,12662,38799186927
494,Science Facts,Are Aliens Avoiding Us? 💀👽 #Shorts #Science #Space #Universe #Astronomy,Science Of Infinity,50879804,1854090.4626539925,1.05,42,2025-11-28T12:00:28Z,https://www.youtube.com/watch?v=F2N3mT3PBOk,https://www.youtube.com/channel/UCKWe3mXbIf4KtETT2mvUBdg,science facts #shorts,2017-03-28T06:26:46Z,1020000,943,620157862
461,Wildlife & Nature,I Found a Fox Family in Serious Trouble,AmazeAnimals,49171362,3680919.68348209,0.75,61,2025-12-12T14:00:39Z,https://www.youtube.com/watch?v=K12M96HjIKs,https://www.youtube.com/channel/UC_aeWYRjxsbnD83EOjmrWOg,wildlife shorts,2014-08-03T21:28:36Z,143000,30,136426918
600,Memes & Comedy,That one Strict teacher in School 🏫  #shorts #sejalgabashorts #school #teacher,Sejal Gaba,43689646,4561206.8899866715,1.05,53,2025-12-16T08:43:48Z,https://www.youtube.com/watch?v=fOBQXmB4GcE,https://www.youtube.com/channel/UCW-V3lJDUSz_AccP6rPRUtA,funny shorts,2020-08-07T08:16:21.557918Z,22100000,664,19955150793
177,Roblox,DO NOT CROSS THE STREET #roblox #shorts,Furious Jumper,42942585,2832594.4941526926,1.05,25,2025-12-10T18:46:00Z,https://www.youtube.com/watch?v=jb0oU7vs3sQ,https://www.youtube.com/channel/UCLMKLU-ZuDQIsbjMvR3bbog,roblox shorts,2012-03-18T07:48:30Z,10300000,7254,6521699466
601,Memes & Comedy,Me training my daughter for future 👧🏼 #shorts #sejalgabashorts #ytshorts,Sejal Gaba,42783100,2608344.9628273975,1.05,46,2025-12-09T12:57:26Z,https://www.youtube.com/watch?v=X0_ThdWDSqM,https://www.youtube.com/channel/UCW-V3lJDUSz_AccP6rPRUtA,funny shorts,2020-08-07T08:16:21.557918Z,22100000,664,19955150793
602,Memes & Comedy,कोहरे के Side Effect 😜🤪 Comedy Shorts #funny #comedy #youtubeshorts #shorts #trending,Keshav Shashi Vlogs,41944396,5579491.694630184,1.05,47,2025-12-18T10:11:32Z,https://www.youtube.com/watch?v=0RRgPq1jrLQ,https://www.youtube.com/channel/UClyw32fdzLCsqbkfzhdrtXA,funny shorts,2013-09-05T13:31:54Z,17300000,903,22558166121
348,Beauty & Skincare,Forehead Pimple Gel Routine — Real Skin ASMR #Shorts  #satisfying,ASMR Body Parts,41037752,1579415.2341124653,1.05,9,2025-11-29T23:01:24Z,https://www.youtube.com/watch?v=uoPCX5VlBY4,https://www.youtube.com/channel/UCkEubOTlBI5qXE8s09CtztQ,skincare routine #shorts,2025-11-20T11:09:51.288249Z,14300,35,41599163
16,Motivation & Self-Improvement,Some Good People ❤️🫡 | Tiger Editz | #shorts #emotional #motivational #song,TIGER EDITZ,39643766,1434255.1429290671,1.05,59,2025-11-28T07:13:58Z,https://www.youtube.com/watch?v=7G5w-2bDcmk,https://www.youtube.com/channel/UCIJs7JbDkKZG5n8MqF4UN2A,motivation #shorts,2024-12-21T23:40:14.318013Z,2120000,198,1529777231
576,Movies & TV (Edits/Clips/Trivia),Are there really toilets on buses. #shorts,Story Cut,36042725,1265442.599173448,0.75,62,2025-11-27T11:02:21Z,https://www.youtube.com/watch?v=GJPu-Vd-8HE,https://www.youtube.com/channel/UC94IIXSs2w_rMUk2xwcPZiA,movie scenes #shorts,2025-06-29T15:20:15.933763Z,31700,29,84796745
178,Roblox,MAKE THE RIGHT CHOICE #shorts #roblox,The Prince Family Clubhouse,35019396,2522336.5001482246,1.05,20,2025-12-12T01:24:05Z,https://www.youtube.com/watch?v=fviwE73RqFw,https://www.youtube.com/channel/UCqONv8hrKKTd0ELJcxOVNJQ,roblox shorts,2017-07-24T15:44:18Z,10000000,1174,4082500610
310,Cars & Motorcycles,Big & Small Cars vs Giant Hand Slap - BeamNG.drive,Beamng Smash,34622429,12477620.27345228,1.05,8,2025-12-23T04:01:04Z,https://www.youtube.com/watch?v=vbAbzpVRa5s,https://www.youtube.com/channel/UCDWzpWRszgWAkQc8Lu1o_HQ,car shorts,2024-06-14T18:26:50.995123Z,1260000,720,2377108912
